transaction_id,customer_id,amount,currency,timestamp,status
11ab5210-04d3-4bde-94ad-0ef6446f56ee,c5a008af-64bb-409c-8c57-ae3c4941bf04,4690.9,USD,2025-03-17 03:35:26,COMPLETED
be0f1479-f37d-4bc9-bc79-03c2748ca66c,0ad25ec0-eb88-48f6-bd38-371bcab4994c,2399.91,USD,2025-04-12 05:26:09,PENDING
928d94bb-bae4-4b64-907b-96d81e61c7b5,0ad25ec0-eb88-48f6-bd38-371bcab4994c,2735.84,USD,2025-01-13 15:19:38,COMPLETED
1161c26e-35c2-4353-9a5d-b4603fe98fd4,8078293d-63a9-43c2-bd8b-1fc39dbf026d,974.7,USD,2025-03-14 22:42:30,PENDING
1338600d-9b15-4966-a567-6bf534ece0bc,17d9dd85-9e42-4291-a173-824cb692482a,2974.8,USD,2025-02-08 17:47:56,PENDING
a288b1d7-0809-4dde-b096-222aa0d53b8f,14f1d991-25b3-4a6f-a6f1-1826fcf974e0,1184.49,USD,2025-04-12 09:23:13,FAILED
a9e2d838-9a01-48dd-8985-bd60ce0d5808,7e4f73e3-c347-4b48-ac73-ceefbabe0d3b,163.35,USD,2025-03-20 18:48:32,PENDING
8e874119-caed-4d0a-b523-1459028e38de,e0aec7cc-2499-4f68-8a69-ced56a8337f0,1302.63,USD,2025-03-20 06:45:32,FAILED
4f42af4e-a4d3-42bf-b25a-e7ba55cccd57,7e8e60ac-6037-4d45-a0ea-53a986ee5c60,127.79,USD,2025-03-21 17:44:10,FAILED
9d83350f-739e-40f6-a99f-c67b07d8b61b,070a41f7-4dda-40de-9115-fba1d3b68da1,2503.69,USD,2025-01-04 01:01:43,COMPLETED
6439ccba-8bba-4ab0-a46c-f8a256490c15,17d9dd85-9e42-4291-a173-824cb692482a,354.97,USD,2025-01-23 06:12:55,COMPLETED
c54cfa1e-dc00-448a-bc5a-cff0b104bbea,fedadb3d-8a5f-4423-8d13-d4ab2a1b1e8b,786.3,USD,2025-03-07 22:33:12,COMPLETED
d1356fb0-21f2-4ec2-ada1-88b2ca3608fa,72308e21-2d30-4f0b-8cde-3b71d5e02dde,4685.89,USD,2025-02-16 15:58:32,PENDING
343843cb-dd22-4146-9966-db94ddba887d,94478c7b-8725-46a1-971f-9d22bae6e279,3606.05,USD,2025-01-31 17:51:33,PENDING
0882a3bc-1015-4f29-934f-041031e9b587,87dc8b34-aca4-445a-82aa-7af0786f3914,3100.93,USD,2025-01-08 10:23:18,FAILED
cbbab49c-33e1-4e83-80c3-d88a704f652f,c38323c2-6aeb-4ec3-b371-5cd0a86f454c,61.31,USD,2025-04-01 21:47:25,PENDING
c1afb993-2312-4844-90dd-dad72cc916e9,7849b262-7c9f-4f9a-a757-1aaf27d8dcf9,2257.12,USD,2025-01-09 12:36:45,COMPLETED
6fece6f9-384a-434d-986e-4bcb788f79e0,3f35ba0d-7551-4d68-8061-a72a65b3b824,2650.52,USD,2025-04-04 16:51:59,FAILED
aab9e621-e341-44d9-9024-ecafcb30302f,46fec816-274a-418f-b759-9884436836fe,202.12,USD,2025-01-22 21:49:45,FAILED
